HINCP	NATIVITY	RAC1P	SEX	HISP	OCCP12
513800	2	6	1	1	3060
513800	2	6	2	1	3060
206600	1	1	1	1	3060
143000	1	1	1	1	3060
336000	1	1	1	1	3060
175000	1	8	2	2	3060
478500	1	1	1	1	3060
297000	1	1	1	1	3060
297000	2	6	2	1	3060
130000	2	1	1	1	3060
287000	1	2	2	1	3060
250000	1	1	1	1	3060
267000	2	6	1	1	3060
267000	2	6	1	1	3060
280000	2	9	2	1	3060
334000	1	1	2	1	3060
56000	1	6	2	1	3060
614000	1	1	1	1	3060
351000	1	1	1	1	3060
252000	1	1	1	1	3060
478000	2	1	1	2	3060
332700	1	1	1	1	3060
100000	2	1	2	1	3060
56000	2	2	1	1	3060
52000	2	6	1	1	3060
234500	2	6	1	1	3060
234500	2	6	2	1	3060
480000	1	1	1	1	3060
210000	2	1	1	1	3060
340500	1	1	1	1	3060
200000	2	6	2	1	3060
219400	1	1	1	1	3060
247000	1	1	1	1	3060
80000	1	1	1	1	3060
89650	1	1	1	1	3060
135000	1	1	1	3	3060
135000	1	1	2	3	3060
77000	1	1	1	1	3060
406290	1	6	1	1	3060
376500	1	1	2	1	3060
131000	1	1	1	1	3060
109800	1	1	1	1	3060
987500	1	1	1	1	3060
157000	1	1	2	1	3060
188300	1	1	2	1	3060
334600	1	1	2	1	3060
88000	1	1	2	1	3060
587200	1	1	1	1	3060
339500	1	1	2	1	3060
184200	2	6	1	1	3060
88000	1	1	2	1	3060
88000	1	1	1	1	3060
311000	1	1	1	1	3060
165000	1	1	2	1	3060
140780	1	1	1	1	3060
295000	2	6	1	1	3060
295000	2	6	2	1	3060
290000	1	1	1	1	3060
349000	1	1	1	1	3060
53000	1	6	1	1	3060
564000	1	1	1	1	3060
351000	1	1	1	1	3060
212000	1	1	1	1	3060
197200	1	2	2	3	3060
325900	1	1	1	1	3060
270200	1	1	1	1	3060
177060	2	1	2	1	3060
300000	1	6	2	1	3060
224000	1	2	2	1	3060
125000	1	1	2	1	3060
63000	1	1	1	1	3060
239000	1	1	1	1	3060
229000	2	1	1	1	3060
144000	1	6	2	1	3060
120000	2	6	2	1	3060
373000	1	1	1	1	3060
110000	1	1	1	1	3060
129000	1	6	1	1	3060
385000	2	6	1	1	3060
100000	1	1	2	1	3060
142250	2	1	1	1	3060
74000	1	1	1	1	3060
150000	1	2	2	1	3060
523000	2	8	1	1	3060
523000	2	8	2	1	3060
422000	1	6	1	1	3060
439400	2	6	1	1	3060
433000	1	1	1	1	3060
372000	1	1	1	1	3060
304000	1	1	1	1	3060
161000	2	6	1	1	3060
155100	1	1	1	1	3060
278000	1	1	1	1	3060
190000	1	1	1	1	3060
284000	1	1	1	1	3060
64000	1	1	1	1	3060
139000	1	1	2	1	3060
270500	2	1	1	1	3060
270500	2	1	2	1	3060
278000	2	2	1	1	3060
680000	2	6	1	1	3060
680000	1	6	2	1	3060
331000	2	6	1	1	3060
218000	1	1	1	1	3060
411000	1	1	1	1	3060
110000	1	1	1	1	3060
411300	2	6	1	1	3060
281100	1	1	2	1	3060
355020	1	1	1	1	3060
506000	1	1	1	1	3060
65300	1	2	2	1	3060
212000	1	1	2	1	3060
509800	1	1	1	1	3060
368600	1	1	1	1	3060
51500	1	1	1	1	3060
388100	1	1	2	1	3060
16100	1	9	2	1	3060
381010	1	1	1	1	3060
180000	1	1	1	1	3060
464000	1	1	1	1	3060
448000	1	1	2	1	3060
50000	2	1	2	1	3060
167900	1	1	1	1	3060
300000	2	1	2	1	3060
404600	2	6	1	1	3060
613000	2	1	1	1	3060
147600	1	1	1	1	3060
255000	2	6	2	1	3060
188300	2	1	1	1	3060
482000	1	1	1	1	3060
198100	1	1	2	3	3060
-60000	2	2	2	1	3060
297200	1	1	1	1	3060
495030	1	1	1	1	3060
371000	1	2	2	1	3060
412000	2	1	1	1	3060
338600	1	1	1	1	3060
102400	2	6	1	1	3060
175000	1	6	1	1	3060
200000	2	6	1	1	3060
420000	1	1	1	1	3060
420000	1	9	2	1	3060
91200	1	1	1	1	3060
442500	1	1	1	2	3060
377400	1	1	1	1	3060
101000	1	1	1	1	3060
509300	1	1	1	1	3060
403000	2	6	1	1	3060
90650	1	6	1	1	3060
87200	1	1	2	1	3060
304000	1	6	1	1	3060
391000	2	9	1	1	3060
195000	2	6	1	1	3060
156404	1	1	2	1	3060
156404	2	6	2	1	3060
156404	1	6	1	1	3060
403000	1	1	1	1	3060
384600	2	6	1	1	3060
308000	1	1	1	1	3060
100200	2	6	1	1	3060
120000	2	1	1	1	3060
320004	1	1	1	1	3060
697600	1	1	1	1	3060
142250	1	1	1	1	3060
451000	1	1	1	1	3060
451000	1	1	2	1	3060
100000	1	1	1	1	3060
300000	2	1	1	1	3060
48000	1	1	2	1	3060
650000	1	1	1	1	3060
2087000	2	6	2	1	3060
2087000	2	6	1	1	3060
447000	1	1	1	23	3060
490000	1	1	1	1	3060
100000	1	6	1	1	3060
49000	1	1	2	1	3060
398200	1	1	1	1	3060
291000	1	1	1	1	3060
352000	1	6	2	1	3060
603000	2	6	2	1	3060
603000	2	1	1	1	3060
185000	1	1	1	1	3060
52000	1	1	2	3	3060
442900	1	1	2	1	3060
433000	1	1	1	1	3060
189840	2	1	1	1	3060
423000	1	1	1	1	3060
127000	1	1	2	1	3060
16000	2	6	2	1	3060
443000	1	1	1	1	3060
550560	1	1	1	1	3060
550560	1	1	2	1	3060
52200	1	1	1	1	3060
620000	2	1	1	1	3060
150000	1	1	1	1	3060
325700	2	6	2	1	3060
349200	2	1	1	1	3060
52000	1	1	2	1	3060
247070	1	2	2	1	3060
